Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Num Core Per Cluster,Num Vector Unit Per Cluster,Bank Width,Bank Num,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,32,64,8192,16384,2,2,1,32,32,128.0000,128.0000,43.81,43.81,0.0833,1402.2990,6553600,78643200
l1_matrix_add,32,64,8192,16384,2,2,1,64,64,128.0000,128.0000,30.68,30.68,0.0833,2002.6390,6553600,78643200
l1_matrix_add,32,64,8192,16384,2,2,1,32,256,128.0000,128.0000,82.28,82.28,0.0833,746.7340,6553600,78643200
l1_matrix_add,32,16,8192,16384,2,1,1,32,32,32.0000,128.0000,30.68,30.68,0.0833,2002.5910,6553600,78643200
l1_matrix_add,32,32,8192,16384,2,1,1,32,32,64.0000,128.0000,43.71,43.71,0.0833,1405.7100,6553600,78643200
l1_matrix_add,32,64,8192,16384,2,1,1,32,32,128.0000,128.0000,43.71,43.71,0.0833,1405.6780,6553600,78643200
l1_matrix_add,64,16,8192,16384,2,1,1,32,32,32.0000,128.0000,54.77,54.77,0.0833,1121.7430,6553600,78643200
l1_matrix_add,64,32,8192,16384,2,1,1,32,32,64.0000,128.0000,55.85,55.85,0.0833,1100.1090,6553600,78643200
l1_matrix_add,64,64,8192,16384,2,1,1,32,32,128.0000,128.0000,53.37,53.37,0.0833,1151.2450,6553600,78643200
l1_matrix_add,32,16,8192,16384,2,2,1,32,32,32.0000,128.0000,43.00,43.00,0.0833,1428.9570,6553600,78643200
l1_matrix_add,32,32,8192,16384,2,2,1,32,32,64.0000,128.0000,43.81,43.81,0.0833,1402.3310,6553600,78643200
l1_matrix_add,32,64,8192,16384,2,2,1,32,32,128.0000,128.0000,43.81,43.81,0.0833,1402.2990,6553600,78643200
l1_matrix_add,64,16,8192,16384,2,2,1,32,32,32.0000,128.0000,38.49,38.49,0.0833,1596.4380,6553600,78643200
l1_matrix_add,64,32,8192,16384,2,2,1,32,32,64.0000,128.0000,56.02,56.02,0.0833,1096.7300,6553600,78643200
l1_matrix_add,64,64,8192,16384,2,2,1,32,32,128.0000,128.0000,53.53,53.53,0.0833,1147.8660,6553600,78643200
l1_matrix_add,32,16,8192,16384,2,4,1,32,32,32.0000,128.0000,43.00,43.00,0.0833,1428.9730,6553600,78643200
l1_matrix_add,32,32,8192,16384,2,4,1,32,32,64.0000,128.0000,30.68,30.68,0.0833,2002.5910,6553600,78643200
l1_matrix_add,32,64,8192,16384,2,4,1,32,32,128.0000,128.0000,43.94,43.94,0.0833,1398.3230,6553600,78643200
l1_matrix_add,64,16,8192,16384,2,4,1,32,32,32.0000,128.0000,54.77,54.77,0.0833,1121.7660,6553600,78643200
l1_matrix_add,64,32,8192,16384,2,4,1,32,32,64.0000,128.0000,56.22,56.22,0.0833,1092.7540,6553600,78643200
l1_matrix_add,64,64,8192,16384,2,4,1,32,32,128.0000,128.0000,53.71,53.71,0.0833,1143.8900,6553600,78643200
l1_matrix_add,32,16,8192,16384,2,8,1,32,32,32.0000,128.0000,42.99,42.99,0.0833,1429.0410,6553600,78643200
l1_matrix_add,32,32,8192,16384,2,8,1,32,32,64.0000,128.0000,44.26,44.26,0.0833,1388.2390,6553600,78643200
l1_matrix_add,32,64,8192,16384,2,8,1,32,32,128.0000,128.0000,44.26,44.26,0.0833,1388.2070,6553600,78643200
