Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Num Core Per Cluster,Num Vector Unit Per Cluster,Bank Width,Bank Num,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes,Roofline (GFLOP/s),Vector Bandwidth,Bank Bandwidth,Bandwidth,Compute,Roofline (GFLOP/s) v2,Roofline (GFLOP/s) v3,Performance % of Roofline,Performance % of Roofline Bank
l1_matrix_add,32,64,8192,16384,2,2,1,32,32,128.0,128.0,4.673468354466487,43.81,0.0833,1402.299,6553600,78643200,10.6624,128000000000.0,128000000000.0,128000000000.0,128000000000.0,10.6624,10.6624,43.8312983424603,43.8312983424603
l1_matrix_add,32,64,8192,16384,2,2,1,64,64,128.0,128.0,3.27248196005371,30.68,0.0833,2002.639,6553600,78643200,10.6624,128000000000.0,512000000000.0,128000000000.0,128000000000.0,42.6496,5.3312,30.691795093540946,7.672948773385237
l1_matrix_add,32,64,8192,16384,2,2,1,32,256,128.0,128.0,8.7763514183096,82.28,0.0833,746.734,6553600,78643200,10.6624,128000000000.0,1024000000000.0,128000000000.0,128000000000.0,85.2992,1.3328,82.31121903426622,10.288902379283277
l1_matrix_add,32,16,8192,16384,2,1,1,32,32,32.0,128.0,3.2725603980043863,30.68,0.0833,2002.591,6553600,78643200,10.6624,128000000000.0,128000000000.0,128000000000.0,32000000000.0,10.6624,10.6624,30.692530743588556,30.692530743588556
l1_matrix_add,32,32,8192,16384,2,1,1,32,32,64.0,128.0,4.662128034943197,43.71,0.0833,1405.71,6553600,78643200,10.6624,128000000000.0,128000000000.0,128000000000.0,64000000000.0,10.6624,10.6624,43.72494030371396,43.72494030371396
l1_matrix_add,32,64,8192,16384,2,1,1,32,32,128.0,128.0,4.66223416742668,43.71,0.0833,1405.678,6553600,78643200,10.6624,128000000000.0,128000000000.0,128000000000.0,128000000000.0,10.6624,10.6624,43.725935693902684,43.725935693902684
l1_matrix_add,64,16,8192,16384,2,1,1,32,32,32.0,128.0,5.842336435351058,54.77,0.0833,1121.743,6553600,78643200,10.6624,256000000000.0,128000000000.0,128000000000.0,32000000000.0,10.6624,32.0,54.79382161006019,54.79382161006019
l1_matrix_add,64,32,8192,16384,2,1,1,32,32,64.0,128.0,5.957227874692418,55.85,0.0833,1100.109,6553600,78643200,10.6624,256000000000.0,128000000000.0,128000000000.0,64000000000.0,10.6624,42.6496,55.87135986918909,55.87135986918909
l1_matrix_add,64,64,8192,16384,2,1,1,32,32,128.0,128.0,5.692619729075915,53.37,0.0833,1151.245,6553600,78643200,10.6624,256000000000.0,128000000000.0,128000000000.0,128000000000.0,10.6624,42.6496,53.38966582641727,53.38966582641727
l1_matrix_add,32,16,8192,16384,2,2,1,32,32,32.0,128.0,4.586282162444356,43.0,0.0833,1428.957,6553600,78643200,10.6624,128000000000.0,128000000000.0,128000000000.0,32000000000.0,10.6624,10.6624,43.01360071320112,43.01360071320112
l1_matrix_add,32,32,8192,16384,2,2,1,32,32,64.0,128.0,4.673361709895881,43.81,0.0833,1402.331,6553600,78643200,10.6624,128000000000.0,128000000000.0,128000000000.0,64000000000.0,10.6624,10.6624,43.8302981495337,43.8302981495337
l1_matrix_add,32,64,8192,16384,2,2,1,32,32,128.0,128.0,4.673468354466487,43.81,0.0833,1402.299,6553600,78643200,10.6624,128000000000.0,128000000000.0,128000000000.0,128000000000.0,10.6624,10.6624,43.8312983424603,43.8312983424603
l1_matrix_add,64,16,8192,16384,2,2,1,32,32,32.0,128.0,4.105139065845338,38.49,0.0833,1596.438,6553600,78643200,10.6624,256000000000.0,128000000000.0,128000000000.0,32000000000.0,10.6624,32.0,38.501079173969636,38.501079173969636
l1_matrix_add,64,32,8192,16384,2,2,1,32,32,64.0,128.0,5.9755819572729845,56.02,0.0833,1096.73,6553600,78643200,10.6624,256000000000.0,128000000000.0,128000000000.0,64000000000.0,10.6624,42.6496,56.04349824873372,56.04349824873372
l1_matrix_add,64,64,8192,16384,2,2,1,32,32,128.0,128.0,5.709377226958548,53.53,0.0833,1147.866,6553600,78643200,10.6624,256000000000.0,128000000000.0,128000000000.0,128000000000.0,10.6624,42.6496,53.54683023483032,53.54683023483032
