name,time_ns,compiler,cluster,source_file,kernel
dace_s111_cpy,98984000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s111
s1111_run_timed,101242234,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101074882,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101196813,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101087712,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101117983,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101036612,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101740446,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101029021,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,101010482,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,100937761,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
s1111_run_timed,100917051,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1111
base_s1111,104010000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103351000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103424000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103488000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103618000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103206000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,102902000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103833000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103480000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
base_s1111,103879000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111
s112_run_timed,141498089,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,140904505,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,141087696,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,140891944,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,140812614,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,140762394,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,141139446,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,141096936,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,140895585,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,141248997,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
s112_run_timed,141261757,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s112
base_s112,160872000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,159200000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,160388000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,159909000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,159566000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,159253000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,159183000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,160154000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,159955000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
base_s112,160054000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112
s1112_run_timed,131106613,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129937145,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129795144,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129896815,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129815694,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129941645,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,130613070,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,130385989,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129792704,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129995196,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
s1112_run_timed,129991416,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1112
dace_s1112_cpy,133512000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133895000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133629000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133640000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133772000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133799000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133600000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133613000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133619000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,133728000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
dace_s1112_cpy,134043000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112
s113_run_timed,198156618,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,197825527,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,197739826,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,198055717,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,197795537,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
