,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel,median_cpp_ns,median_kernel_ns,median_kernel_cpp_ns,num_impls,norm_runtime,speedup_over_median,norm_cpp_runtime,speedup_over_cpp_median
249,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s3110,42955287.0,42934568.27272727,13831974471.4181,cpp,s3110,42955287.0,40336143.5,42955287.0,2,1.064932918041607,0.9390262833071049,1.0,1.0
250,llvm,intel_xeon,runtimes_v7f_default.csv,dace_s3111,42974500.0,42967300.0,1066677777.7777479,dace,s3111,42992189.0,42983344.5,42992189.0,2,0.999794234252758,1.0002058080954985,0.9995885531671811,1.000411616190997
251,intel,intel_xeon,runtimes_v7f_default.csv,dace_s31111,42988000.0,42988454.54545455,265072727.27276355,dace,s31111,43043722.0,43015861.0,43043722.0,2,0.9993523086751652,1.0006481111007723,0.9987054558153684,1.0012962222015447
252,llvm,intel_xeon,runtimes_v7f_default.csv,cpp_s3111,42992189.0,43003278.81818182,1385944499.763847,cpp,s3111,42992189.0,42983344.5,42992189.0,2,1.0002057657472418,0.9997942765835905,1.0,1.0
253,llvm,intel_xeon,runtimes_v7f_default.csv,dace_s31111,43005000.0,43022100.0,3810766666.6666555,dace,s31111,43034286.0,43019643.0,43034286.0,2,0.9996596206063356,1.0003404952912451,0.9993194728500898,1.0006809905824905
254,llvm,intel_xeon,runtimes_v7f_default.csv,cpp_s31111,43034286.0,43034656.45454545,498076679.2727359,cpp,s31111,43034286.0,43019643.0,43034286.0,2,1.0003403793936645,0.9996597364250449,1.0,1.0
255,intel,intel_xeon,runtimes_v7f_default.csv,cpp_s31111,43043722.0,43035396.63636363,633733215.45451,cpp,s31111,43043722.0,43015861.0,43043722.0,2,1.0006476913248348,0.9993527279076841,1.0,1.0
256,graceclang,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s1221,43063212.0,43131120.27272727,104222633454.21785,cpp,s1221,43063212.0,43131106.0,43063212.0,2,0.9984258692554743,1.0015766125387953,1.0,1.0
257,gcc,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s175,43102335.0,43215017.72727273,173035003519.61737,cpp,s175,43102335.0,42095667.5,43102335.0,2,1.0239138030059745,0.97664471077959,1.0,1.0
258,graceclang,arm,runtimes_v8f_no_vectorize.csv,dace_s1221,43199000.0,43263727.27272727,60363418181.81825,dace,s1221,43163235.0,43131106.0,43063212.0,2,1.0015741307445258,0.9984283432486863,1.0031532250775905,0.9968566864973726
259,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s171,43318013.0,43433343.36363637,35057226081.6548,cpp,s171,43318013.0,46892506.5,43318013.0,2,0.923772607463412,1.0825174852780066,1.0,1.0
