,compiler,cluster,source_file_cpp,name_cpp,median_ns_cpp,mean_ns_cpp,variance_ns_cpp,impl_cpp,kernel,median_cpp_ns_cpp,source_file_dace,name_dace,median_ns_dace,mean_ns_dace,variance_ns_dace,impl_dace,median_cpp_ns_dace
49,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s114,2417736.0,3079199.6363636362,4798024195607.855,cpp,s114,2417736.0,runtimes_v7f_default.csv,dace_s114,2331000.0,2338363.6363636362,1873654545.4545588,dace,2417736.0
50,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s114,2599547.0,2607796.5454545454,659813966.2727252,cpp,s114,2599547.0,runtimes_v7f_default.csv,dace_s114,2297000.0,2328181.8181818184,3988763636.3636374,dace,2599547.0
51,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s125,2780059.0,2793814.3636363638,1490819410.6545427,cpp,s125,2780059.0,runtimes_v7f_default.csv,dace_s125,2581000.0,2586909.090909091,1013090909.0909096,dace,2904249.0
52,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s125,2797399.0,2804424.8181818184,517839245.3636385,cpp,s125,2797399.0,runtimes_v7f_default.csv,dace_s125,2884000.0,2894727.272727273,1022018181.8181833,dace,2797399.0
53,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s125,2871940.0,2874338.6363636362,377383906.4545442,cpp,s125,2871940.0,runtimes_v7f_default.csv,dace_s125,2807000.0,2812000.0,4178199999.999984,dace,2871940.0
54,gcc,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s118,3326087.0,3423721.727272727,55154525663.618225,cpp,s118,3326087.0,runtimes_v8f_.csv,dace_s118,3386000.0,3699636.3636363638,774244654545.4546,dace,3394966.0
55,graceclang,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s118,3328597.0,3399434.3636363638,28291745644.65457,cpp,s118,3328597.0,runtimes_v8f_intrinsic_neon.csv,dace_s118,3339000.0,3383454.5454545454,29244072727.272713,dace,3428180.0
56,llvm,intel_xeon,runtimes_v7f_.csv,cpp_s125,3561035.0,3846390.090909091,299987941575.22943,cpp,s125,3561035.0,runtimes_v7f_default.csv,dace_s125,3597000.0,3877727.272727273,299144618181.81824,dace,3674580.0
57,gcc,intel_xeon,runtimes_v7f_force_width_512.csv,cpp_s125,3665488.0,4130727.0,922585420814.8004,cpp,s125,3665488.0,runtimes_v7f_force_width_512.csv,dace_s125,4066000.0,4375454.545454546,389088672727.27264,dace,3665488.0
58,intel,intel_xeon,runtimes_v7f_default.csv,cpp_s125,3726304.0,3971076.5454545454,255293015021.67245,cpp,s125,3726304.0,runtimes_v7f_default.csv,dace_s125,3588000.0,3854545.4545454546,274198472727.27277,dace,3726304.0
59,llvm,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s1115,4357137.0,4537921.7272727275,287689627289.81805,cpp,s1115,4357137.0,runtimes_v8f_intrinsic_sve.csv,dace_s1115,4202500.0,4329900.0,138472099999.99994,dace,4357137.0
60,intel,intel_xeon,runtimes_v7f_default.csv,cpp_s118,5572153.0,5661604.181818182,50403750301.36362,cpp,s118,5572153.0,runtimes_v7f_default.csv,dace_s118,5549000.0,5626454.545454546,37927872727.272804,dace,5572153.0
61,gcc,intel_xeon,runtimes_v7f_force_width_512.csv,cpp_s118,5768983.0,5969806.909090909,305673842972.691,cpp,s118,5768983.0,runtimes_v7f_default.csv,dace_s118,5835000.0,6226272.7272727275,645795818181.8181,dace,5772729.0
62,llvm,intel_xeon,runtimes_v7f_.csv,cpp_s118,5968309.0,6079301.454545454,98066925045.87878,cpp,s118,5968309.0,runtimes_v7f_.csv,dace_s118,5938500.0,6043000.0,60150571428.57143,dace,5968309.0
63,gcc,intel_xeon,runtimes_v7f_default.csv,cpp_s1115,8255639.0,10429295.909090908,27268203501280.29,cpp,s1115,8255639.0,runtimes_v7f_default.csv,dace_s1115,8798000.0,10952090.909090908,28785749290909.094,dace,8255639.0
64,intel,intel_xeon,runtimes_v7f_default.csv,cpp_s1115,8270502.0,9836704.272727273,12407801319081.016,cpp,s1115,8270502.0,runtimes_v7f_default.csv,dace_s1115,8144000.0,9355272.727272727,8555219818181.817,dace,8270502.0
65,llvm,intel_xeon,runtimes_v7f_default.csv,cpp_s1115,8297702.0,9941516.454545455,13874879018638.473,cpp,s1115,8297702.0,runtimes_v7f_.csv,dace_s1115,8745500.0,9625050.0,9573049418421.053,dace,9055909.0
66,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s118,14317757.0,14344297.909090908,16840544578.490885,cpp,s118,14317757.0,runtimes_v7f_force_width_256.csv,dace_s118,14123000.0,14008181.818181818,153211563636.3635,dace,14317757.0
67,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s118,14994539.0,15038898.272727273,5986669267.818206,cpp,s118,14994539.0,runtimes_v7f_default.csv,dace_s118,14470000.0,14465818.181818182,4976363636.363635,dace,14994539.0
68,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s1115,15328512.0,15322648.454545455,9127805118.672712,cpp,s1115,15328512.0,runtimes_v7f_default.csv,dace_s1115,15049500.0,15058700.0,18936455555.555553,dace,15328512.0
69,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s118,15759595.0,15762922.454545455,12340479465.672756,cpp,s118,15759595.0,runtimes_v7f_default.csv,dace_s118,13271500.0,13288600.0,4868488888.888885,dace,15759595.0
70,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s1115,16076919.0,16068083.0,12760599871.599995,cpp,s1115,16076919.0,runtimes_v7f_default.csv,dace_s1115,13089000.0,13108363.636363637,2160254545.45456,dace,21182840.0
71,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s1115,16873831.0,16880614.727272727,24094879232.218086,cpp,s1115,16873831.0,runtimes_v7f_default.csv,dace_s1115,16620000.0,16631272.727272727,13519418181.818186,dace,16873831.0
72,gcc,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s293,20714560.0,20710613.272727273,910563127.2181914,cpp,s293,20714560.0,runtimes_v8f_intrinsic_neon.csv,dace_s293,69324000.0,69779272.72727273,18740041418181.82,dace,20726869.0
73,graceclang,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s1232,21860501.0,21912566.272727273,24112371034.418537,cpp,s1232,21860501.0,runtimes_v8f_intrinsic_sve.csv,dace_s1232,29632000.0,29704818.181818184,33143763636.36366,dace,31084132.0
74,gcc,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s3111,23228497.0,23343073.545454547,60787665929.4731,cpp,s3111,23228497.0,runtimes_v8f_intrinsic_neon.csv,dace_s3111,103461000.0,103682454.54545455,645058272727.2721,dace,23228497.0
