,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel
17,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1221,48455141.0,48458679.36363637,2799122589.454573,cpp,s1221
18,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s123,218096217.0,218176245.36363637,806044594451.8579,cpp,s123
19,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1232,172728069.0,172675203.8181818,226932238213.3645,cpp,s1232
20,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s124,99475175.0,99602265.36363636,156125746996.65445,cpp,s124
21,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s125,2904249.0,2919642.909090909,928769371.4909099,cpp,s125
22,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1251,399421703.0,399583370.0,142400359809.80536,cpp,s1251
23,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s126,543593462.0,535298554.8181818,384380103680131.0,cpp,s126
24,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s127,122463621.0,122587070.63636364,124974631312.25249,cpp,s127
25,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s128,120651310.0,120647701.0909091,27063281718.091423,cpp,s128
26,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s13110,78497932.0,78923111.9090909,1200643756185.2964,cpp,s13110
27,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s132,16980.0,17231.909090909092,465802.29090909084,cpp,s132
28,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1351,532425914.0,532612895.3636364,516858168412.28064,cpp,s1351
29,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1421,270939650.0,270921698.1818182,86586849511.16203,cpp,s1421
30,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s151,234303292.0,234282669.8181818,100606442380.36057,cpp,s151
31,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s152,103093882.0,103182504.27272727,54284145072.61755,cpp,s152
32,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s161,203662746.0,203618871.27272728,303854243836.4215,cpp,s161
33,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s162,295292099.0,295656911.1818182,1706663858944.9685,cpp,s162
34,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s171,43318013.0,43433343.36363637,35057226081.6548,cpp,s171
35,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s172,46132964.0,46136688.0,3663615691.0000153,cpp,s172
36,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s173,353577617.0,353645054.0,64099733093.19942,cpp,s173
37,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s174,35441488742.0,35439204913.454544,100534159598351.52,cpp,s174
38,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s175,46797661.0,46800795.0,13819827273.799728,cpp,s175
39,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s211,116099065.0,116124194.18181819,193915269558.5648,cpp,s211
40,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s212,94373556.0,94351607.0,326552125524.60095,cpp,s212
41,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s221,295866877.0,295761321.8181818,421189557224.9569,cpp,s221
42,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s222,128209235.0,128267081.54545455,116010514991.86775,cpp,s222
43,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s2233,424082123.0,423680939.72727275,2021334283218.403,cpp,s2233
44,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s2244,78403997.0,78393374.0,2388100784.3998947,cpp,s2244
45,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s2251,120468449.0,120538804.36363636,76220254735.6547,cpp,s2251
46,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s231,5505164201.0,5461628338.090909,8290217805271630.0,cpp,s231
47,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s233,685004173.0,684942416.9090909,86764910799.49513,cpp,s233
48,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s235,10892240506.0,10867361126.818182,2552987648867617.0,cpp,s235
49,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s241,179287286.0,207601238.9090909,3437146639357467.5,cpp,s241
50,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s242,40.0,38.09090909090909,98.0909090909091,cpp,s242
51,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s243,128044608.0,127879553.0909091,1698724867616.8882,cpp,s243
52,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s244,118486285.0,118478640.0909091,356816986918.89124,cpp,s244
53,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s251,333750747.0,333757542.72727275,153637701684.02167,cpp,s251
54,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s252,63277789.0,63290237.54545455,16256493932.672491,cpp,s252
55,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s253,161530622.0,159969043.72727272,68441554530252.21,cpp,s253
56,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s254,237535653.0,237471264.45454547,79207172795.67154,cpp,s254
57,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s255,59779286.0,59806361.0,38519035758.19987,cpp,s255
58,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s256,305425335.0,305313864.90909094,119378350163.68523,cpp,s256
59,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s258,1200.0,1305.4545454545455,114207.27272727275,cpp,s258
60,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s261,106968580.0,106885852.36363636,957203500836.8539,cpp,s261
61,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s271,377270071.0,378317463.1818182,6100228405994.1455,cpp,s271
62,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s272,33162171.0,33094328.454545453,193691184352.2731,cpp,s272
63,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s274,140181789.0,140359385.9090909,182278903433.89282,cpp,s274
64,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s291,116926877.0,116972110.72727273,27020231295.218666,cpp,s291
65,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s292,58956052.0,59054918.27272727,57801988662.01752,cpp,s292
66,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s293,40207198.0,40307029.0,246014752555.00034,cpp,s293
67,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s311,654691262.0,654519061.0,1717560391929.039,cpp,s311
68,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s3110,78881964.0,78987076.72727273,144445884793.42007,cpp,s3110
69,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s3111,27097373.0,27221491.545454547,73564246796.67282,cpp,s3111
70,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s31111,54553900.0,54560681.45454545,126177036003.27283,cpp,s31111
71,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s3112,66925483.0,66865251.0,74802278648.99977,cpp,s3112
72,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s3113,105946407.0,106028128.0,160420932983.0031,cpp,s3113
73,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s321,106101238.0,105939911.18181819,181347139990.5657,cpp,s321
74,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s322,155334621.0,155319590.0909091,153553990698.4936,cpp,s322
75,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s323,373604428.0,373700073.3636364,218807421097.05133,cpp,s323
76,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s3251,139808053.0,139685828.45454547,191251193744.87265,cpp,s3251
77,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s331,30172614.0,30175226.818181816,10490721686.363567,cpp,s331
78,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s341,355716986.0,355883990.09090906,322198250766.083,cpp,s341
79,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s342,361803707.0,361481575.54545456,699776027445.0681,cpp,s342
80,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s343,296273994.0,296492612.3636364,733205111237.8474,cpp,s343
81,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s351,369554299.0,369518905.0,229765963794.79932,cpp,s351
82,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s352,472402611.0,473072656.8181818,6573137682859.549,cpp,s352
