name,time_ns
s000_run_timed,98960145
s000_run_timed,99312857
s000_run_timed,98964375
s000_run_timed,99069686
s000_run_timed,98905305
s000_run_timed,98956815
s000_run_timed,99152056
s000_run_timed,99055906
s000_run_timed,98981655
s000_run_timed,99200187
s000_run_timed,98908245
base_s000,98323000
base_s000,97901000
base_s000,97967000
base_s000,97919000
base_s000,97550000
base_s000,97307000
base_s000,97860000
base_s000,97890000
base_s000,97969000
base_s000,97644000
dace_s000,106311000
dace_s000,106587000
dace_s000,106610000
dace_s000,107290000
dace_s000,107032000
dace_s000,106906000
dace_s000,106663000
dace_s000,106543000
dace_s000,106129000
dace_s000,106389000
dace_s000,106327000
s111_run_timed,94182284
s111_run_timed,93603941
s111_run_timed,93523560
s111_run_timed,93317919
s111_run_timed,93348009
s111_run_timed,93642772
s111_run_timed,93278378
s111_run_timed,93796432
s111_run_timed,93387530
s111_run_timed,93504700
s111_run_timed,93608551
base_s111,98878000
base_s111,98959000
base_s111,98476000
base_s111,97868000
base_s111,97869000
base_s111,98675000
base_s111,98749000
base_s111,98364000
base_s111,98178000
base_s111,98694000
dace_s111,99285000
dace_s111,99015000
dace_s111,99020000
dace_s111,99110000
dace_s111,98913000
dace_s111,98700000
dace_s111,98726000
dace_s111,98042000
dace_s111,98690000
dace_s111,98086000
dace_s111,98868000
s1111_run_timed,102134432
s1111_run_timed,101824471
s1111_run_timed,101774390
s1111_run_timed,101883651
s1111_run_timed,101843421
s1111_run_timed,101842900
s1111_run_timed,102069731
s1111_run_timed,102002301
s1111_run_timed,101770441
s1111_run_timed,101780981
s1111_run_timed,102151942
base_s1111,109606000
base_s1111,110529000
base_s1111,110289000
base_s1111,109833000
base_s1111,109581000
base_s1111,109758000
base_s1111,110500000
base_s1111,110279000
base_s1111,110366000
base_s1111,110368000
dace_s1111,99622000
dace_s1111,100457000
dace_s1111,99901000
dace_s1111,99725000
dace_s1111,99688000
dace_s1111,99276000
dace_s1111,99192000
dace_s1111,99152000
dace_s1111,99123000
dace_s1111,99029000
dace_s1111,99445000
s112_run_timed,161239658
s112_run_timed,161048176
s112_run_timed,161569660
s112_run_timed,160827745
s112_run_timed,161585960
s112_run_timed,161055907
s112_run_timed,161563670
s112_run_timed,161112477
s112_run_timed,161555590
s112_run_timed,161346639
s112_run_timed,160940985
base_s112,135149000
base_s112,134247000
base_s112,134288000
base_s112,134116000
base_s112,134149000
base_s112,134434000
base_s112,133978000
base_s112,134001000
base_s112,134093000
base_s112,135280000
dace_s112,137604000
dace_s112,138619000
dace_s112,138056000
dace_s112,138392000
dace_s112,138435000
dace_s112,138797000
dace_s112,138428000
dace_s112,138493000
dace_s112,138308000
dace_s112,138215000
dace_s112,137957000
s1112_run_timed,133151056
s1112_run_timed,133321027
s1112_run_timed,133448038
s1112_run_timed,132916875
s1112_run_timed,133258466
s1112_run_timed,133394827
s1112_run_timed,133403028
s1112_run_timed,133270437
s1112_run_timed,133235597
s1112_run_timed,133554379
s1112_run_timed,133261657
base_s1112,147064000
base_s1112,146592000
base_s1112,145861000
base_s1112,146697000
base_s1112,146676000
base_s1112,146804000
base_s1112,146879000
base_s1112,146441000
base_s1112,146772000
base_s1112,145974000
dace_s1112,160048000
dace_s1112,160259000
dace_s1112,160478000
dace_s1112,159184000
dace_s1112,160213000
dace_s1112,160158000
dace_s1112,160254000
dace_s1112,160216000
dace_s1112,160451000
dace_s1112,160106000
dace_s1112,160326000
s113_run_timed,188124750
s113_run_timed,187707228
s113_run_timed,187452055
s113_run_timed,188459452
s113_run_timed,188103239
s113_run_timed,188325431
s113_run_timed,188722354
