name,time_ns
s292_run_timed,94255155
s292_run_timed,94526506
s292_run_timed,92976281
s292_run_timed,91826234
s292_run_timed,90646333
s292_run_timed,90032271
s292_run_timed,89795030
s292_run_timed,89793078
s292_run_timed,89640411
s292_run_timed,89634237
s292_run_timed,89748760
s292,103259000
s292,102139000
s292,102164000
s292,102421000
s292,102188000
s292,102079000
s292,102265000
s292,102108000
s292,102048000
s292,102493000
s292,102211000
s293_run_timed,21140590
s293_run_timed,21778010
s293_run_timed,20954482
s293_run_timed,20925811
s293_run_timed,20879636
s293_run_timed,20869845
s293_run_timed,20858804
s293_run_timed,20847637
s293_run_timed,20897459
s293_run_timed,20826486
s293_run_timed,20824662
s293,71241000
s293,69886000
s293,66797000
s293,70414000
s293,71775000
s293,67829000
s293,68609000
s293,68778000
s293,70056000
s293,74182000
s293,70330000
s311_run_timed,417002727
s311_run_timed,416945416
s311_run_timed,416728782
s311_run_timed,417384508
s311_run_timed,416964968
s311_run_timed,420532925
s311_run_timed,417093380
s311_run_timed,419742773
s311_run_timed,417275390
s311_run_timed,417461465
s311_run_timed,417760849
s311,417156000
s311,417078000
s311,418159000
s311,418630000
s311,418064000
s311,417805000
s311,417779000
s311,417452000
s311,417050000
s311,417841000
s311,417458000
s1421_run_timed,222788810
s1421_run_timed,217592486
s1421_run_timed,211867791
s1421_run_timed,213277062
s1421_run_timed,215030673
s1421_run_timed,212568507
s1421_run_timed,213219078
s1421_run_timed,212690712
s1421_run_timed,212884977
s1421_run_timed,399395249
s1421_run_timed,215593698
dace_s1421,250768000
dace_s1421,237008000
dace_s1421,236255000
dace_s1421,235421000
dace_s1421,235233000
dace_s1421,234220000
dace_s1421,233404000
dace_s1421,233567000
dace_s1421,233550000
dace_s1421,233174000
dace_s1421,232891000
s4112_run_timed,486539575
s4112_run_timed,481414127
s4112_run_timed,473271585
s4112_run_timed,469329813
s4112_run_timed,465577093
s4112_run_timed,465288141
s4112_run_timed,464279692
s4112_run_timed,465103187
s4112_run_timed,463651518
s4112_run_timed,463921686
s4112_run_timed,463627871
dace_s4112,483975000
dace_s4112,480026000
dace_s4112,470621000
dace_s4112,468881000
dace_s4112,465144000
dace_s4112,460119000
dace_s4112,459004000
dace_s4112,458749000
dace_s4112,458466000
dace_s4112,468304000
dace_s4112,452637000
s4113_run_timed,624450553
s4113_run_timed,920013525
s4113_run_timed,615549506
s4113_run_timed,615859512
s4113_run_timed,612197414
s4113_run_timed,611671445
s4113_run_timed,608681230
s4113_run_timed,607874885
s4113_run_timed,607774889
s4113_run_timed,606574218
s4113_run_timed,606460206
dace_s4113,623456000
dace_s4113,620068000
dace_s4113,615123000
dace_s4113,613177000
dace_s4113,612931000
dace_s4113,610475000
dace_s4113,610158000
dace_s4113,610843000
dace_s4113,613426000
dace_s4113,635867000
dace_s4113,605081000
s4114_run_timed,584645749
s4114_run_timed,579625322
s4114_run_timed,679092577
s4114_run_timed,867504553
s4114_run_timed,570670259
s4114_run_timed,569319932
s4114_run_timed,573701978
s4114_run_timed,570524568
s4114_run_timed,569180385
s4114_run_timed,568824394
s4114_run_timed,567906086
dace_s4114,874325000
dace_s4114,885909000
dace_s4114,871378000
dace_s4114,878435000
dace_s4114,883543000
dace_s4114,1090402000
dace_s4114,869651000
dace_s4114,868632000
dace_s4114,869470000
dace_s4114,868439000
dace_s4114,867998000
s4115_run_timed,574029329
s4115_run_timed,571644632
s4115_run_timed,568358904
s4115_run_timed,567393206
s4115_run_timed,567996867
s4115_run_timed,565820740
s4115_run_timed,573375298
s4115_run_timed,564120721
s4115_run_timed,566996220
s4115_run_timed,565239375
s4115_run_timed,564285805
dace_s4115,557693000
dace_s4115,554949000
dace_s4115,543753000
dace_s4115,543671000
dace_s4115,541618000
dace_s4115,545051000
dace_s4115,541859000
dace_s4115,542162000
dace_s4115,541307000
dace_s4115,542572000
dace_s4115,541269000
s4116_run_timed,286839
s4116_run_timed,259896
s4116_run_timed,259288
s4116_run_timed,263096
s4116_run_timed,256761
s4116_run_timed,258744
s4116_run_timed,262104
s4116_run_timed,258232
s4116_run_timed,259480
s4116_run_timed,257336
s4116_run_timed,260664
dace_s4116,257000
dace_s4116,255000
dace_s4116,255000
dace_s4116,255000
dace_s4116,254000
dace_s4116,252000
dace_s4116,254000
dace_s4116,255000
dace_s4116,255000
dace_s4116,256000
dace_s4116,255000
s4117_run_timed,65940219
s4117_run_timed,65460648
s4117_run_timed,64819228
s4117_run_timed,64358729
s4117_run_timed,64191823
s4117_run_timed,63945492
s4117_run_timed,63930678
s4117_run_timed,63894166
s4117_run_timed,63786843
s4117_run_timed,63942165
s4117_run_timed,63926743
dace_s4117,104144000
dace_s4117,103652000
dace_s4117,103111000
dace_s4117,104056000
dace_s4117,103483000
dace_s4117,103666000
dace_s4117,103327000
dace_s4117,103204000
dace_s4117,103523000
dace_s4117,103513000
dace_s4117,103739000
s4121_run_timed,67087672
s4121_run_timed,66241426
s4121_run_timed,65495559
s4121_run_timed,65411466
s4121_run_timed,65497799
s4121_run_timed,65613348
s4121_run_timed,65816381
s4121_run_timed,65598405
s4121_run_timed,65534438
s4121_run_timed,65845917
s4121_run_timed,65470247
dace_s4121,91255000
dace_s4121,90250000
dace_s4121,88651000
dace_s4121,89529000
dace_s4121,89324000
dace_s4121,89140000
dace_s4121,89328000
dace_s4121,89522000
dace_s4121,89408000
dace_s4121,91879000
dace_s4121,89702000
s424_run_timed,225833581
s424_run_timed,224044097
s424_run_timed,219656676
s424_run_timed,220427980
s424_run_timed,220210163
s424_run_timed,221958816
s424_run_timed,220654565
s424_run_timed,221201142
s424_run_timed,220840384
s424_run_timed,220879231
s424_run_timed,504992552
dace_s424,243218000
dace_s424,240386000
dace_s424,240623000
dace_s424,240648000
dace_s424,239827000
dace_s424,241242000
dace_s424,240010000
dace_s424,243589000
dace_s424,244013000
dace_s424,239733000
dace_s424,239786000
s431_run_timed,442730465
s431_run_timed,437084042
s431_run_timed,435308926
s431_run_timed,600435189
s431_run_timed,436988204
s431_run_timed,429374446
s431_run_timed,426678238
s431_run_timed,426664351
s431_run_timed,427813309
s431_run_timed,429174900
s431_run_timed,450765523
dace_s431,579446000
dace_s431,578907000
dace_s431,578831000
dace_s431,577633000
dace_s431,578915000
dace_s431,578541000
dace_s431,578395000
dace_s431,578132000
dace_s431,578556000
dace_s431,578709000
dace_s431,578196000
s441_run_timed,64476002
s441_run_timed,63837878
s441_run_timed,63545726
s441_run_timed,63289317
s441_run_timed,63312869
s441_run_timed,63338436
s441_run_timed,63465377
s441_run_timed,63827477
s441_run_timed,63234311
s441_run_timed,63452225
s441_run_timed,63430177
dace_s441,446451000
dace_s441,444402000
dace_s441,444113000
dace_s441,445551000
dace_s441,444754000
dace_s441,444065000
dace_s441,446064000
dace_s441,444397000
dace_s441,444553000
dace_s441,444567000
dace_s441,444058000
s442_run_timed,55687623
s442_run_timed,54959965
s442_run_timed,54269746
s442_run_timed,54969053
s442_run_timed,54505771
s442_run_timed,54793441
s442_run_timed,54348784
s442_run_timed,54776739
s442_run_timed,54565833
s442_run_timed,54373678
s442_run_timed,54609544
s292_run_timed,41278193
s292_run_timed,41384205
s292_run_timed,41657607
s292_run_timed,41323568
s292_run_timed,41505066
s292_run_timed,41291697
s292_run_timed,41228786
s292_run_timed,41323088
s292_run_timed,41242131
s292_run_timed,41278448
s292_run_timed,41271346
s292,100944000
s292,100696000
s292,101484000
s292,100452000
s292,100416000
s292,100364000
s292,100452000
s292,100539000
s292,100672000
s292,100439000
s292,100524000
s293_run_timed,20707479
s293_run_timed,20657208
s293_run_timed,20597178
s293_run_timed,20624024
s293_run_timed,21341187
s293_run_timed,20674680
s293_run_timed,20641113
s293_run_timed,20614106
s293_run_timed,20659224
s293_run_timed,20729845
s293_run_timed,20654776
dace_s442,845327000
dace_s442,1017112000
dace_s442,995628000
s293,69670000
s293,73784000
s293,67888000
s293,68060000
s293,66680000
s293,75436000
s293,72018000
s293,75117000
s293,69984000
s293,73154000
s293,67028000
dace_s442,1016757000
dace_s442,1009480000
dace_s442,989203000
dace_s442,1021767000
dace_s442,1025815000
s311_run_timed,413071652
s311_run_timed,413664115
dace_s442,1007314000
s311_run_timed,416905971
s311_run_timed,413233376
s311_run_timed,413448794
dace_s442,1011166000
s311_run_timed,413697203
s311_run_timed,412978888
dace_s442,1022726000
s311_run_timed,413579862
s311_run_timed,413847694
s311_run_timed,413305278
s311_run_timed,413081669
s443_run_timed,124450507
s443_run_timed,124213041
s443_run_timed,125057336
s443_run_timed,125505066
s443_run_timed,125164852
s443_run_timed,139811010
s443_run_timed,123768126
s443_run_timed,123477446
s443_run_timed,122871705
s443_run_timed,122803835
s443_run_timed,122837818
s311,412877000
s311,416105000
s311,413281000
s311,413918000
s311,413460000
s311,413816000
s311,422628000
s311,413682000
s311,413934000
s311,413646000
s311,413205000
s1421_run_timed,220016225
s1421_run_timed,214545413
s1421_run_timed,210141159
s1421_run_timed,208539253
s1421_run_timed,208736337
s1421_run_timed,407155925
s1421_run_timed,216312815
s1421_run_timed,211216999
s1421_run_timed,208576215
s1421_run_timed,207452279
s1421_run_timed,208052037
dace_s443,527418000
dace_s443,539948000
dace_s443,550752000
dace_s443,547392000
dace_s443,543040000
dace_s443,545623000
dace_s443,548724000
dace_s443,547377000
dace_s443,539124000
dace_s443,537994000
dace_s1421,238778000
dace_s1421,235360000
dace_s443,535695000
dace_s1421,234775000
dace_s1421,232657000
dace_s1421,233972000
dace_s1421,232093000
dace_s1421,231665000
dace_s1421,231568000
dace_s1421,231304000
dace_s1421,231171000
dace_s1421,231073000
s451_run_timed,755354042
s451_run_timed,752754311
s4112_run_timed,500576887
s451_run_timed,753270520
s4112_run_timed,491058161
s4112_run_timed,480746470
s451_run_timed,753309783
s4112_run_timed,480098520
s451_run_timed,755660528
s4112_run_timed,477097394
s4112_run_timed,474757656
s451_run_timed,752821445
s4112_run_timed,472885935
s451_run_timed,753308535
s4112_run_timed,472325153
s4112_run_timed,471365981
s451_run_timed,757429180
s4112_run_timed,471681108
s4112_run_timed,470743727
s451_run_timed,772433886
s451_run_timed,756181761
s451_run_timed,752855684
dace_s4112,487219000
dace_s4112,480123000
dace_s4112,471714000
dace_s4112,466758000
dace_s4112,464394000
dace_s4112,464063000
dace_s4112,461857000
dace_s4112,461600000
dace_s4112,460844000
dace_s4112,461874000
dace_s4112,461210000
dace_s451,817834000
dace_s451,822852000
dace_s451,821448000
dace_s451,819597000
dace_s451,817775000
dace_s451,818309000
s4113_run_timed,618918254
dace_s451,817508000
s4113_run_timed,617206402
s4113_run_timed,611241972
dace_s451,817583000
s4113_run_timed,607539426
dace_s451,827619000
s4113_run_timed,606844693
dace_s451,819089000
s4113_run_timed,605362403
s4113_run_timed,604258595
dace_s451,817855000
s4113_run_timed,604488221
s4113_run_timed,604682871
s4113_run_timed,705761362
s4113_run_timed,701793513
s452_run_timed,221209868
s452_run_timed,220264968
s452_run_timed,215299867
s452_run_timed,214287354
s452_run_timed,214477683
s452_run_timed,214194812
s452_run_timed,214843145
s452_run_timed,214628751
s452_run_timed,214524754
s452_run_timed,217484731
s452_run_timed,214702988
dace_s4113,622110000
dace_s4113,619697000
dace_s4113,613193000
dace_s4113,607805000
dace_s4113,607230000
dace_s4113,915259000
dace_s4113,598289000
dace_s4113,591933000
dace_s4113,590706000
dace_s4113,591236000
dace_s4113,605377000
dace_s452,332332000
dace_s452,334627000
dace_s452,331465000
dace_s452,334788000
dace_s452,337766000
dace_s452,331748000
dace_s452,332014000
dace_s452,333327000
dace_s452,331637000
dace_s452,331293000
dace_s452,331276000
s4114_run_timed,586258011
s4114_run_timed,578726685
s4114_run_timed,574267746
s4114_run_timed,973890745
s4114_run_timed,571386903
s4114_run_timed,569846693
s4114_run_timed,568566987
s453_run_timed,68660989
s453_run_timed,68780122
s453_run_timed,68312199
s453_run_timed,68241738
s453_run_timed,68095118
s453_run_timed,67747672
s453_run_timed,67516255
s453_run_timed,67543102
s453_run_timed,67503265
s4114_run_timed,567830530
s453_run_timed,67839126
s453_run_timed,66969007
s4114_run_timed,567039289
s4114_run_timed,566374989
s4114_run_timed,565741343
dace_s453,69285000
dace_s453,72051000
dace_s453,68603000
dace_s453,68397000
dace_s453,68253000
dace_s453,68341000
dace_s453,67801000
dace_s453,67697000
dace_s453,67467000
dace_s453,67552000
dace_s453,67341000
dace_s4114,1003589000
dace_s4114,901304000
dace_s4114,904003000
dace_s4114,895187000
dace_s4114,909305000
dace_s4114,907234000
dace_s4114,893146000
dace_s4114,906872000
s471_run_timed,115341515
s471_run_timed,118854498
s471_run_timed,114198061
s471_run_timed,114160974
s471_run_timed,114034097
s471_run_timed,114047601
dace_s4114,895643000
s471_run_timed,114314090
s471_run_timed,113674589
s471_run_timed,114014386
s471_run_timed,113973492
s471_run_timed,114000211
dace_s4114,899064000
dace_s4114,1189742000
s4115_run_timed,578502772
s4115_run_timed,567445086
s4115_run_timed,563046914
