name,time_ns
s000_run_timed,204998697
s000_run_timed,203599692
s000_run_timed,199426666
s000_run_timed,196184777
s000_run_timed,194220484
s000_run_timed,193460602
s000_run_timed,194627513
s000_run_timed,193681140
s000_run_timed,198049426
s000_run_timed,193197762
s000_run_timed,193892815
base_s000,192333148
base_s000,192802511
base_s000,191712974
base_s000,191619250
base_s000,191224317
base_s000,191525237
base_s000,191349785
base_s000,191311834
base_s000,191359801
base_s000,191155551
s111_run_timed,83745248
s111_run_timed,83561317
s111_run_timed,82173967
s111_run_timed,83125716
s111_run_timed,83380171
s111_run_timed,83807550
s111_run_timed,83197008
s111_run_timed,82971639
s111_run_timed,83445418
s111_run_timed,83293550
s111_run_timed,82492902
base_s111,85171445
base_s111,82411784
base_s111,82098098
base_s111,82093585
base_s111,82202542
base_s111,82032211
base_s111,81695773
base_s111,81726333
base_s111,81840601
base_s111,81965685
s1111_run_timed,129773764
s1111_run_timed,128882784
s1111_run_timed,127570502
s1111_run_timed,127486216
s1111_run_timed,127567078
s1111_run_timed,127208786
s1111_run_timed,127186641
s1111_run_timed,126863163
s1111_run_timed,126905147
s1111_run_timed,126993623
s1111_run_timed,126950297
base_s1111,126970457
base_s1111,127110708
base_s1111,127008822
base_s1111,127098742
base_s1111,127054805
base_s1111,127121011
base_s1111,127226097
base_s1111,128580360
base_s1111,127171186
base_s1111,127274384
s112_run_timed,125948056
s112_run_timed,124821816
s112_run_timed,123818870
s112_run_timed,123583966
s112_run_timed,124027247
s112_run_timed,123456448
s112_run_timed,123518559
s112_run_timed,123304742
s112_run_timed,123393666
s112_run_timed,123376323
s112_run_timed,122987984
base_s112,122927280
base_s112,123387811
base_s112,126366923
base_s112,123069324
base_s112,122724470
base_s112,122647130
base_s112,122624122
base_s112,122129480
base_s112,122012588
base_s112,122230086
s1112_run_timed,209466430
s1112_run_timed,104363513
s1112_run_timed,103737485
s1112_run_timed,103122975
s1112_run_timed,102551536
s1112_run_timed,101875012
s1112_run_timed,101531343
s1112_run_timed,101000926
s1112_run_timed,100794212
s1112_run_timed,100513708
s1112_run_timed,100042204
base_s1112,100193462
base_s1112,99987324
base_s1112,100016796
base_s1112,100098074
base_s1112,99906751
base_s1112,104192735
base_s1112,100842883
base_s1112,100803301
base_s1112,100471214
base_s1112,100842435
s113_run_timed,142223474
s113_run_timed,142362989
s113_run_timed,141518470
s113_run_timed,140427208
s113_run_timed,139695100
s113_run_timed,138766264
s113_run_timed,137992433
s113_run_timed,137540189
s113_run_timed,136953647
s113_run_timed,235177888
s113_run_timed,331082934
base_s113,138922933
base_s113,138824791
base_s113,138113516
base_s113,135828177
base_s113,135054822
base_s113,134646547
base_s113,134122499
base_s113,133732590
base_s113,132847976
base_s113,133603955
s1113_run_timed,68444105
s1113_run_timed,68361227
s1113_run_timed,67877977
s1113_run_timed,67814491
s1113_run_timed,67622305
s1113_run_timed,67777437
s1113_run_timed,67173774
s1113_run_timed,67014098
s1113_run_timed,66976884
s1113_run_timed,66671453
s1113_run_timed,66461603
base_s1113,66427589
base_s1113,66380101
base_s1113,66239050
base_s1113,66179660
base_s1113,66485250
base_s1113,66202923
base_s1113,65850966
base_s1113,66044880
base_s1113,65981010
base_s1113,66318088
s114_run_timed,3211776
s114_run_timed,2719983
s114_run_timed,2616914
s114_run_timed,2675184
s114_run_timed,2660464
s114_run_timed,2662192
s114_run_timed,2688400
s114_run_timed,3135107
s114_run_timed,2634961
s114_run_timed,2706703
s114_run_timed,2692623
base_s114,2693008
base_s114,2714991
base_s114,2713359
base_s114,2702736
base_s114,2702927
base_s114,2691248
base_s114,2712623
base_s114,2711375
base_s114,2724654
base_s114,2750318
s115_run_timed,2364633
s115_run_timed,1633200
s115_run_timed,1484148
s115_run_timed,1424310
s115_run_timed,1415382
s115_run_timed,1317080
s115_run_timed,1311417
s115_run_timed,1277402
s115_run_timed,1260443
s115_run_timed,1284314
s115_run_timed,1245115
base_s115,1219835
base_s115,1207260
base_s115,1196636
base_s115,1171901
base_s115,1199293
base_s115,1153022
base_s115,1143742
base_s115,1148829
base_s115,1127614
base_s115,1104959
s1115_run_timed,29326484
s1115_run_timed,24398696
s1115_run_timed,30359253
s1115_run_timed,30745194
s1115_run_timed,24294090
s1115_run_timed,30998371
s1115_run_timed,30357877
s1115_run_timed,30432979
s1115_run_timed,30364373
s1115_run_timed,30178619
s1115_run_timed,30022879
base_s1115,30322422
base_s1115,30148924
base_s1115,30107901
base_s1115,30290968
base_s1115,30254777
base_s1115,30390933
base_s1115,30280633
base_s1115,30043006
base_s1115,30511793
base_s1115,30379701
s116_run_timed,247376103
s116_run_timed,246799416
s116_run_timed,245478560
