name,time_ns
s000_run_timed,204372682
s000_run_timed,203224749
s000_run_timed,198659286
s000_run_timed,196420027
s000_run_timed,194992646
s000_run_timed,194962311
s000_run_timed,193685229
s000_run_timed,194854859
s000_run_timed,198905135
s000_run_timed,193453652
s000_run_timed,192397941
base_s000,7786000
base_s000,7696000
base_s000,7635000
base_s000,7567000
base_s000,7660000
base_s000,8305000
base_s000,7790000
base_s000,12067000
base_s000,7641000
base_s000,7584000
dace_s000,73019000
dace_s000,71990000
dace_s000,71529000
dace_s000,71243000
dace_s000,70977000
dace_s000,70786000
dace_s000,70673000
dace_s000,70361000
dace_s000,70126000
dace_s000,70267000
dace_s000,69770000
s111_run_timed,83850193
s111_run_timed,83591416
s111_run_timed,83228900
s111_run_timed,82970571
s111_run_timed,82902925
s111_run_timed,82493658
s111_run_timed,85329668
s111_run_timed,82607734
s111_run_timed,82508025
s111_run_timed,82381246
s111_run_timed,82254049
base_s111,88539000
base_s111,87771000
base_s111,87810000
base_s111,87442000
base_s111,87172000
base_s111,87135000
base_s111,86789000
base_s111,86336000
base_s111,86308000
base_s111,86422000
dace_s111,89379000
dace_s111,88045000
dace_s111,86352000
dace_s111,89682000
dace_s111,87166000
dace_s111,86755000
dace_s111,86711000
dace_s111,86512000
dace_s111,86613000
dace_s111,86829000
dace_s111,87214000
s1111_run_timed,131792914
s1111_run_timed,128990889
s1111_run_timed,128448632
s1111_run_timed,128463544
s1111_run_timed,128671090
s1111_run_timed,128571092
s1111_run_timed,128492759
s1111_run_timed,128230560
s1111_run_timed,128141825
s1111_run_timed,128243359
s1111_run_timed,128149569
base_s1111,11987000
base_s1111,12935000
base_s1111,14460000
base_s1111,12124000
base_s1111,12055000
base_s1111,11911000
base_s1111,12071000
base_s1111,12181000
base_s1111,14392000
base_s1111,13205000
dace_s1111,129837000
dace_s1111,127869000
dace_s1111,127726000
dace_s1111,127388000
dace_s1111,127491000
dace_s1111,127238000
dace_s1111,127427000
dace_s1111,127860000
dace_s1111,127073000
dace_s1111,127053000
dace_s1111,126980000
s112_run_timed,124375381
s112_run_timed,124047294
s112_run_timed,123537294
s112_run_timed,123328628
s112_run_timed,122812484
s112_run_timed,122478894
s112_run_timed,122269108
s112_run_timed,121541163
s112_run_timed,121304082
s112_run_timed,120991964
s112_run_timed,121198548
base_s112,130820000
base_s112,129170000
base_s112,128699000
base_s112,128459000
base_s112,128018000
base_s112,127926000
base_s112,127544000
base_s112,127585000
base_s112,126453000
base_s112,126074000
dace_s112,133619000
dace_s112,130800000
dace_s112,130123000
dace_s112,130107000
dace_s112,129576000
dace_s112,129224000
dace_s112,128981000
dace_s112,128505000
dace_s112,128547000
dace_s112,127793000
dace_s112,127816000
s1112_run_timed,106008163
s1112_run_timed,107754767
s1112_run_timed,105260667
s1112_run_timed,104414772
s1112_run_timed,104114685
s1112_run_timed,103527952
s1112_run_timed,103170042
s1112_run_timed,102861540
s1112_run_timed,102561581
s1112_run_timed,102301141
s1112_run_timed,102272118
base_s1112,14055000
base_s1112,11466000
base_s1112,12239000
base_s1112,11538000
base_s1112,11285000
base_s1112,16355000
base_s1112,11314000
base_s1112,11372000
base_s1112,11324000
base_s1112,11269000
dace_s1112,109204000
dace_s1112,107657000
dace_s1112,107114000
dace_s1112,106572000
dace_s1112,106060000
dace_s1112,105596000
dace_s1112,105260000
dace_s1112,104899000
dace_s1112,104610000
dace_s1112,104078000
dace_s1112,103926000
s113_run_timed,142680551
s113_run_timed,142524908
s113_run_timed,142987677
s113_run_timed,140574375
s113_run_timed,138714688
s113_run_timed,138230063
s113_run_timed,137638272
s113_run_timed,137066034
s113_run_timed,136716061
s113_run_timed,136637439
s113_run_timed,136986645
base_s113,144275000
base_s113,142436000
base_s113,141845000
base_s113,141158000
base_s113,140424000
base_s113,139893000
base_s113,139304000
base_s113,139035000
base_s113,138891000
base_s113,139200000
dace_s113,143028000
dace_s113,143046000
dace_s113,142350000
dace_s113,141527000
dace_s113,140765000
dace_s113,140127000
dace_s113,140170000
dace_s113,138917000
dace_s113,138693000
dace_s113,138537000
dace_s113,138754000
s1113_run_timed,68563290
s1113_run_timed,68728116
s1113_run_timed,68063785
s1113_run_timed,67850255
s1113_run_timed,67432347
s1113_run_timed,67505913
s1113_run_timed,67192451
s1113_run_timed,66884397
s1113_run_timed,66806351
s1113_run_timed,66945546
s1113_run_timed,66821806
base_s1113,68291000
base_s1113,68067000
base_s1113,67542000
base_s1113,67301000
base_s1113,67085000
base_s1113,66894000
base_s1113,66790000
base_s1113,66688000
base_s1113,66663000
base_s1113,67202000
dace_s1113,71695000
dace_s1113,68080000
dace_s1113,67561000
dace_s1113,67221000
dace_s1113,69812000
dace_s1113,66688000
dace_s1113,66534000
dace_s1113,66267000
dace_s1113,66173000
dace_s1113,65959000
dace_s1113,65973000
s114_run_timed,3234589
s114_run_timed,2847305
s114_run_timed,2770604
s114_run_timed,2853769
s114_run_timed,2845898
s114_run_timed,2829066
s114_run_timed,2871049
s114_run_timed,2865929
s114_run_timed,2826282
s114_run_timed,2935366
s114_run_timed,2816874
base_s114,3137000
base_s114,2752000
base_s114,2832000
base_s114,2748000
base_s114,2769000
base_s114,2811000
base_s114,2785000
base_s114,2819000
base_s114,2772000
base_s114,2804000
dace_s114,3315000
dace_s114,2860000
dace_s114,2768000
dace_s114,3068000
dace_s114,2820000
dace_s114,2838000
dace_s114,2837000
dace_s114,2858000
dace_s114,2876000
dace_s114,2886000
dace_s114,2827000
s115_run_timed,2344760
s115_run_timed,1599855
s115_run_timed,1781514
s115_run_timed,1420501
s115_run_timed,1385590
s115_run_timed,1399637
s115_run_timed,1346551
s115_run_timed,1312824
s115_run_timed,1316856
s115_run_timed,1319096
s115_run_timed,1317336
s1115_run_timed,30223752
s1115_run_timed,24636466
s1115_run_timed,31125325
s1115_run_timed,30842709
s1115_run_timed,22019907
s1115_run_timed,29728087
s1115_run_timed,30578109
s1115_run_timed,30896691
s1115_run_timed,30894196
s1115_run_timed,30552254
s1115_run_timed,30681434
base_s1115,521000
base_s1115,269000
base_s1115,243000
base_s1115,244000
base_s1115,234000
base_s1115,222000
base_s1115,234000
base_s1115,261000
base_s1115,232000
base_s1115,223000
dace_s1115,30644000
dace_s1115,21651000
dace_s1115,23679000
dace_s1115,20334000
dace_s1115,28260000
dace_s1115,30098000
dace_s1115,29542000
dace_s1115,29729000
dace_s1115,29406000
dace_s1115,29512000
dace_s1115,29331000
s116_run_timed,248483093
s116_run_timed,247526290
s116_run_timed,252404446
s116_run_timed,245925410
s116_run_timed,346159096
s116_run_timed,246211963
s116_run_timed,245953729
s116_run_timed,246334390
s116_run_timed,244678986
s116_run_timed,244692168
s116_run_timed,243966558
base_s116,279131000
base_s116,254325000
base_s116,253439000
base_s116,253145000
base_s116,252730000
base_s116,252022000
base_s116,251859000
base_s116,252462000
base_s116,251862000
base_s116,251268000
dace_s116,274849000
dace_s116,253107000
dace_s116,252969000
dace_s116,252456000
dace_s116,252531000
dace_s116,251992000
dace_s116,252037000
dace_s116,255276000
dace_s116,251429000
dace_s116,281590000
dace_s116,265841000
s118_run_timed,17564555
s118_run_timed,15448012
s118_run_timed,15123477
s118_run_timed,14438538
