Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,16,16,256,1024,2,32.0000,64.0000,3.4127,40.9522,63.99,63.99,0.0833,600.1150,2048000,24576000
l1_matrix_add,16,16,512,1024,2,32.0000,64.0000,3.6048,43.2576,67.59,67.59,0.0833,568.1310,2048000,24576000
l1_matrix_add,16,16,256,1024,4,32.0000,64.0000,3.2198,38.6377,60.37,60.37,0.0833,1272.1250,4096000,49152000
l1_matrix_add,16,16,512,1024,4,32.0000,64.0000,3.7608,45.1298,70.52,70.52,0.0833,1089.1250,4096000,49152000
l1_matrix_add,16,16,256,1024,8,32.0000,64.0000,3.5097,42.1161,65.81,65.81,0.0833,2334.1190,8192000,98304000
l1_matrix_add,16,16,512,1024,8,32.0000,64.0000,3.7645,45.1738,70.58,70.58,0.0833,2176.1290,8192000,98304000
l1_matrix_add,16,16,256,2048,2,32.0000,64.0000,3.2791,39.3491,61.48,61.48,0.0833,1249.1250,4096000,49152000
l1_matrix_add,16,16,512,2048,2,32.0000,64.0000,3.7300,44.7599,69.94,69.94,0.0833,1098.1270,4096000,49152000
l1_matrix_add,16,16,1024,2048,2,32.0000,64.0000,4.0073,48.0880,75.14,75.14,0.0833,1022.1270,4096000,49152000
l1_matrix_add,16,16,256,2048,4,32.0000,64.0000,3.1899,38.2785,59.81,59.81,0.0833,2568.1250,8192000,98304000
l1_matrix_add,16,16,512,2048,4,32.0000,64.0000,3.7836,45.4034,70.94,70.94,0.0833,2165.1250,8192000,98304000
l1_matrix_add,16,16,1024,2048,4,32.0000,64.0000,4.0253,48.3035,75.47,75.47,0.0833,2035.1300,8192000,98304000
l1_matrix_add,16,16,256,2048,8,32.0000,64.0000,3.5632,42.7584,66.81,66.81,0.0833,4598.1190,16384000,196608000
l1_matrix_add,16,16,512,2048,8,32.0000,64.0000,3.8226,45.8707,71.67,71.67,0.0833,4286.1320,16384000,196608000
l1_matrix_add,16,16,1024,2048,8,32.0000,64.0000,4.0846,49.0156,76.59,76.59,0.0833,4011.1290,16384000,196608000
