Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,8,8,256,1024,2,16.0000,32.0000,1.9174,23.0087,71.90,71.90,0.0833,1068.1170,2048000,24576000
l1_matrix_add,8,8,512,1024,2,16.0000,32.0000,2.0175,24.2097,75.66,75.66,0.0833,1015.1320,2048000,24576000
l1_matrix_add,8,8,256,1024,4,16.0000,32.0000,1.9024,22.8282,71.34,71.34,0.0833,2153.1250,4096000,49152000
l1_matrix_add,8,8,512,1024,4,16.0000,32.0000,2.0644,24.7726,77.41,77.41,0.0833,1984.1260,4096000,49152000
l1_matrix_add,8,8,256,1024,8,16.0000,32.0000,1.9453,23.3439,72.95,72.95,0.0833,4211.1210,8192000,98304000
l1_matrix_add,8,8,512,1024,8,16.0000,32.0000,2.0650,24.7796,77.44,77.44,0.0833,3967.1300,8192000,98304000
l1_matrix_add,8,8,256,2048,2,16.0000,32.0000,1.9220,23.0639,72.07,72.07,0.0833,2131.1240,4096000,49152000
l1_matrix_add,8,8,512,2048,2,16.0000,32.0000,2.0551,24.6607,77.06,77.06,0.0833,1993.1280,4096000,49152000
l1_matrix_add,8,8,1024,2048,2,16.0000,32.0000,2.1354,25.6250,80.08,80.08,0.0833,1918.1270,4096000,49152000
l1_matrix_add,8,8,256,2048,4,16.0000,32.0000,1.8923,22.7076,70.96,70.96,0.0833,4329.1250,8192000,98304000
l1_matrix_add,8,8,512,2048,4,16.0000,32.0000,2.0707,24.8486,77.65,77.65,0.0833,3956.1260,8192000,98304000
l1_matrix_add,8,8,1024,2048,4,16.0000,32.0000,2.1405,25.6861,80.27,80.27,0.0833,3827.1300,8192000,98304000
l1_matrix_add,8,8,256,2048,8,16.0000,32.0000,1.9572,23.4865,73.40,73.40,0.0833,8371.1210,16384000,196608000
l1_matrix_add,8,8,512,2048,8,16.0000,32.0000,2.0821,24.9847,78.08,78.08,0.0833,7869.1330,16384000,196608000
