Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,32,128,256,1024,2,256.0000,128.0000,5.8163,69.7954,54.53,54.53,0.0833,352.1150,2048000,24576000
l1_matrix_add,32,128,512,1024,2,256.0000,128.0000,6.3380,76.0558,59.42,59.42,0.0833,323.1310,2048000,24576000
l1_matrix_add,32,128,256,1024,4,256.0000,128.0000,5.2775,63.3300,49.48,49.48,0.0833,776.1250,4096000,49152000
l1_matrix_add,32,128,512,1024,4,256.0000,128.0000,6.8252,81.9029,63.99,63.99,0.0833,600.1250,4096000,49152000
l1_matrix_add,32,128,256,1024,8,256.0000,128.0000,6.1038,73.2454,57.22,57.22,0.0833,1342.1190,8192000,98304000
l1_matrix_add,32,128,512,1024,8,256.0000,128.0000,6.8316,81.9795,64.05,64.05,0.0833,1199.1290,8192000,98304000
l1_matrix_add,32,128,256,2048,2,256.0000,128.0000,5.4387,65.2641,50.99,50.99,0.0833,753.1250,4096000,49152000
l1_matrix_add,32,128,512,2048,2,256.0000,128.0000,6.7244,80.6925,63.04,63.04,0.0833,609.1270,4096000,49152000
l1_matrix_add,32,128,1024,2048,2,256.0000,128.0000,7.7411,92.8932,72.57,72.57,0.0833,529.1240,4096000,49152000
l1_matrix_add,32,128,256,2048,4,256.0000,128.0000,5.1976,62.3707,48.73,48.73,0.0833,1576.1250,8192000,98304000
l1_matrix_add,32,128,512,2048,4,256.0000,128.0000,6.8949,82.7388,64.64,64.64,0.0833,1188.1250,8192000,98304000
l1_matrix_add,32,128,1024,2048,4,256.0000,128.0000,7.8308,93.9695,73.41,73.41,0.0833,1046.1270,8192000,98304000
l1_matrix_add,32,128,256,2048,8,256.0000,128.0000,6.2675,75.2100,58.76,58.76,0.0833,2614.1190,16384000,196608000
l1_matrix_add,32,128,512,2048,8,256.0000,128.0000,7.0223,84.2678,65.83,65.83,0.0833,2333.1320,16384000,196608000
l1_matrix_add,32,128,1024,2048,8,256.0000,128.0000,8.0704,96.8452,75.66,75.66,0.0833,2030.1260,16384000,196608000
l1_matrix_add,32,128,256,4096,2,256.0000,128.0000,6.2720,75.2644,58.80,58.80,0.0833,1306.1150,8192000,98304000
l1_matrix_add,32,128,512,4096,2,256.0000,128.0000,6.9007,82.8080,64.69,64.69,0.0833,1187.1310,8192000,98304000
l1_matrix_add,32,128,1024,4096,2,256.0000,128.0000,8.1422,97.7065,76.33,76.33,0.0833,1006.1150,8192000,98304000
l1_matrix_add,32,128,2048,4096,2,256.0000,128.0000,8.4879,101.8550,79.57,79.57,0.0833,965.1370,8192000,98304000
l1_matrix_add,32,128,256,4096,4,256.0000,128.0000,6.3085,75.7023,59.14,59.14,0.0833,2597.1220,16384000,196608000
l1_matrix_add,32,128,512,4096,4,256.0000,128.0000,6.9804,83.7654,65.44,65.44,0.0833,2347.1270,16384000,196608000
l1_matrix_add,32,128,1024,4096,4,256.0000,128.0000,8.2451,98.9410,77.30,77.30,0.0833,1987.1240,16384000,196608000
l1_matrix_add,32,128,2048,4096,4,256.0000,128.0000,8.6090,103.3075,80.71,80.71,0.0833,1903.1330,16384000,196608000
l1_matrix_add,32,128,256,4096,8,256.0000,128.0000,6.3527,76.2324,59.56,59.56,0.0833,5158.1190,32768000,393216000
l1_matrix_add,32,128,512,4096,8,256.0000,128.0000,7.0756,84.9071,66.33,66.33,0.0833,4631.1320,32768000,393216000
l1_matrix_add,32,128,1024,4096,8,256.0000,128.0000,8.0410,96.4917,75.38,75.38,0.0833,4075.1260,32768000,393216000
l1_matrix_add,32,128,2048,4096,8,256.0000,128.0000,8.6984,104.3807,81.55,81.55,0.0833,3767.1350,32768000,393216000
l1_matrix_add,32,128,256,8192,2,256.0000,128.0000,6.3550,76.2604,59.58,59.58,0.0833,2578.1150,16384000,196608000
l1_matrix_add,32,128,512,8192,2,256.0000,128.0000,7.0043,84.0517,65.67,65.67,0.0833,2339.1310,16384000,196608000
l1_matrix_add,32,128,1024,8192,2,256.0000,128.0000,8.0034,96.0410,75.03,75.03,0.0833,2047.1260,16384000,196608000
l1_matrix_add,32,128,2048,8192,2,256.0000,128.0000,8.6407,103.6887,81.01,81.01,0.0833,1896.1380,16384000,196608000
l1_matrix_add,32,128,4096,8192,2,256.0000,128.0000,8.9621,107.5453,84.02,84.02,0.0833,1828.1410,16384000,196608000
l1_matrix_add,32,128,256,8192,4,256.0000,128.0000,6.3737,76.4845,59.75,59.75,0.0833,5141.1220,32768000,393216000
l1_matrix_add,32,128,512,8192,4,256.0000,128.0000,7.0452,84.5421,66.05,66.05,0.0833,4651.1270,32768000,393216000
l1_matrix_add,32,128,1024,8192,4,256.0000,128.0000,8.0410,96.4918,75.38,75.38,0.0833,4075.1230,32768000,393216000
l1_matrix_add,32,128,2048,8192,4,256.0000,128.0000,8.6984,104.3807,81.55,81.55,0.0833,3767.1350,32768000,393216000
l1_matrix_add,32,128,4096,8192,4,256.0000,128.0000,9.0019,108.0223,84.39,84.39,0.0833,3640.1380,32768000,393216000
l1_matrix_add,32,128,256,16384,2,256.0000,128.0000,6.3974,76.7683,59.98,59.98,0.0833,5122.1150,32768000,393216000
l1_matrix_add,32,128,512,16384,2,256.0000,128.0000,7.2349,86.8193,67.83,67.83,0.0833,4529.1310,32768000,393216000
l1_matrix_add,32,128,1024,16384,2,256.0000,128.0000,8.0647,96.7767,75.61,75.61,0.0833,4063.1260,32768000,393216000
l1_matrix_add,32,128,2048,16384,2,256.0000,128.0000,8.7682,105.2185,82.20,82.20,0.0833,3737.1370,32768000,393216000
l1_matrix_add,32,128,4096,16384,2,256.0000,128.0000,9.1095,109.3139,85.40,85.40,0.0833,3597.1270,32768000,393216000
