Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,128,64,256,1024,2,128.0000,512.0000,8.6368,103.6420,20.24,20.24,0.0833,237.1240,2048000,24576000
l1_matrix_add,128,64,512,1024,2,128.0000,512.0000,10.9442,131.3305,25.65,25.65,0.0833,187.1310,2048000,24576000
l1_matrix_add,128,64,256,1024,4,128.0000,512.0000,8.1250,97.4996,19.04,19.04,0.0833,504.1250,4096000,49152000
l1_matrix_add,128,64,512,1024,4,128.0000,512.0000,12.4830,149.7966,29.26,29.26,0.0833,328.1250,4096000,49152000
l1_matrix_add,128,64,256,1024,8,128.0000,512.0000,9.2552,111.0620,21.69,21.69,0.0833,885.1270,8192000,98304000
l1_matrix_add,128,64,512,1024,8,128.0000,512.0000,12.5044,150.0529,29.31,29.31,0.0833,655.1290,8192000,98304000
l1_matrix_add,128,64,256,2048,2,128.0000,512.0000,8.5134,102.1606,19.95,19.95,0.0833,481.1250,4096000,49152000
l1_matrix_add,128,64,512,2048,2,128.0000,512.0000,12.1497,145.7967,28.48,28.48,0.0833,337.1270,4096000,49152000
l1_matrix_add,128,64,1024,2048,2,128.0000,512.0000,15.4493,185.3918,36.21,36.21,0.0833,265.1250,4096000,49152000
l1_matrix_add,128,64,256,2048,4,128.0000,512.0000,7.9370,95.2443,18.60,18.60,0.0833,1032.1250,8192000,98304000
l1_matrix_add,128,64,512,2048,4,128.0000,512.0000,12.7180,152.6163,29.81,29.81,0.0833,644.1250,8192000,98304000
l1_matrix_add,128,64,1024,2048,4,128.0000,512.0000,15.6597,187.9161,36.70,36.70,0.0833,523.1270,8192000,98304000
l1_matrix_add,128,64,256,2048,8,128.0000,512.0000,9.4973,113.9673,22.26,22.26,0.0833,1725.1270,16384000,196608000
l1_matrix_add,128,64,512,2048,8,128.0000,512.0000,13.1584,157.9013,30.84,30.84,0.0833,1245.1320,16384000,196608000
l1_matrix_add,128,64,1024,2048,8,128.0000,512.0000,16.5977,199.1721,38.90,38.90,0.0833,987.1260,16384000,196608000
l1_matrix_add,128,64,256,4096,2,128.0000,512.0000,9.4473,113.3679,22.14,22.14,0.0833,867.1240,8192000,98304000
l1_matrix_add,128,64,512,4096,2,128.0000,512.0000,12.7377,152.8522,29.85,29.85,0.0833,643.1310,8192000,98304000
l1_matrix_add,128,64,1024,4096,2,128.0000,512.0000,18.3631,220.3567,43.04,43.04,0.0833,446.1130,8192000,98304000
l1_matrix_add,128,64,2048,4096,2,128.0000,512.0000,18.6551,223.8608,43.72,43.72,0.0833,439.1300,8192000,98304000
l1_matrix_add,128,64,256,4096,4,128.0000,512.0000,9.5750,114.8999,22.44,22.44,0.0833,1711.1240,16384000,196608000
l1_matrix_add,128,64,512,4096,4,128.0000,512.0000,13.0122,156.1463,30.50,30.50,0.0833,1259.1270,16384000,196608000
l1_matrix_add,128,64,1024,4096,4,128.0000,512.0000,18.7006,224.4071,43.83,43.83,0.0833,876.1220,16384000,196608000
l1_matrix_add,128,64,2048,4096,4,128.0000,512.0000,19.2498,230.9975,45.12,45.12,0.0833,851.1260,16384000,196608000
l1_matrix_add,128,64,256,4096,8,128.0000,512.0000,9.6231,115.4776,22.55,22.55,0.0833,3405.1270,32768000,393216000
l1_matrix_add,128,64,512,4096,8,128.0000,512.0000,13.3467,160.1608,31.28,31.28,0.0833,2455.1320,32768000,393216000
l1_matrix_add,128,64,1024,4096,8,128.0000,512.0000,16.4488,197.3851,38.55,38.55,0.0833,1992.1260,32768000,393216000
l1_matrix_add,128,64,2048,4096,8,128.0000,512.0000,19.5149,234.1787,45.74,45.74,0.0833,1679.1280,32768000,393216000
l1_matrix_add,128,64,256,8192,2,128.0000,512.0000,9.5974,115.1691,22.49,22.49,0.0833,1707.1240,16384000,196608000
l1_matrix_add,128,64,512,8192,2,128.0000,512.0000,13.0954,157.1442,30.69,30.69,0.0833,1251.1310,16384000,196608000
l1_matrix_add,128,64,1024,8192,2,128.0000,512.0000,16.3167,195.8001,38.24,38.24,0.0833,1004.1260,16384000,196608000
l1_matrix_add,128,64,2048,8192,2,128.0000,512.0000,19.2950,231.5397,45.22,45.22,0.0833,849.1330,16384000,196608000
l1_matrix_add,128,64,4096,8192,2,128.0000,512.0000,21.8706,262.4477,51.26,51.26,0.0833,749.1320,16384000,196608000
l1_matrix_add,128,64,256,8192,4,128.0000,512.0000,9.6629,115.9545,22.65,22.65,0.0833,3391.1240,32768000,393216000
l1_matrix_add,128,64,512,8192,4,128.0000,512.0000,13.2389,158.8670,31.03,31.03,0.0833,2475.1270,32768000,393216000
l1_matrix_add,128,64,1024,8192,4,128.0000,512.0000,16.4488,197.3854,38.55,38.55,0.0833,1992.1230,32768000,393216000
l1_matrix_add,128,64,2048,8192,4,128.0000,512.0000,19.6083,235.2995,45.96,45.96,0.0833,1671.1300,32768000,393216000
l1_matrix_add,128,64,4096,8192,4,128.0000,512.0000,22.2137,266.5642,52.06,52.06,0.0833,1475.1270,32768000,393216000
l1_matrix_add,128,64,256,16384,2,128.0000,512.0000,9.6743,116.0914,22.67,22.67,0.0833,3387.1240,32768000,393216000
l1_matrix_add,128,64,512,16384,2,128.0000,512.0000,13.9253,167.1033,32.64,32.64,0.0833,2353.1310,32768000,393216000
l1_matrix_add,128,64,1024,16384,2,128.0000,512.0000,16.5484,198.5813,38.79,38.79,0.0833,1980.1260,32768000,393216000
l1_matrix_add,128,64,2048,16384,2,128.0000,512.0000,20.4400,245.2802,47.91,47.91,0.0833,1603.1300,32768000,393216000
l1_matrix_add,128,64,4096,16384,2,128.0000,512.0000,22.9449,275.3382,53.78,53.78,0.0833,1428.1200,32768000,393216000
