Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,32,32,256,1024,2,64.0000,128.0000,5.4451,65.3417,51.05,51.05,0.0833,376.1150,2048000,24576000
l1_matrix_add,32,32,512,1024,2,64.0000,128.0000,5.8998,70.7975,55.31,55.31,0.0833,347.1310,2048000,24576000
l1_matrix_add,32,32,256,1024,4,64.0000,128.0000,4.9701,59.6414,46.59,46.59,0.0833,824.1250,4096000,49152000
l1_matrix_add,32,32,512,1024,4,64.0000,128.0000,6.3198,75.8372,59.25,59.25,0.0833,648.1250,4096000,49152000
l1_matrix_add,32,32,256,1024,8,64.0000,128.0000,5.6963,68.3560,53.40,53.40,0.0833,1438.1190,8192000,98304000
l1_matrix_add,32,32,512,1024,8,64.0000,128.0000,6.3252,75.9029,59.30,59.30,0.0833,1295.1290,8192000,98304000
l1_matrix_add,32,32,256,2048,2,64.0000,128.0000,5.1128,61.3537,47.93,47.93,0.0833,801.1250,4096000,49152000
l1_matrix_add,32,32,512,2048,2,64.0000,128.0000,6.2332,74.7983,58.44,58.44,0.0833,657.1270,4096000,49152000
l1_matrix_add,32,32,1024,2048,2,64.0000,128.0000,7.0973,85.1671,66.54,66.54,0.0833,577.1240,4096000,49152000
l1_matrix_add,32,32,256,2048,4,64.0000,128.0000,4.8992,58.7899,45.93,45.93,0.0833,1672.1250,8192000,98304000
l1_matrix_add,32,32,512,2048,4,64.0000,128.0000,6.3794,76.5533,59.81,59.81,0.0833,1284.1250,8192000,98304000
l1_matrix_add,32,32,1024,2048,4,64.0000,128.0000,7.1726,86.0710,67.24,67.24,0.0833,1142.1270,8192000,98304000
l1_matrix_add,32,32,256,2048,8,64.0000,128.0000,5.8387,70.0640,54.74,54.74,0.0833,2806.1190,16384000,196608000
l1_matrix_add,32,32,512,2048,8,64.0000,128.0000,6.4884,77.8605,60.83,60.83,0.0833,2525.1320,16384000,196608000
l1_matrix_add,32,32,1024,2048,8,64.0000,128.0000,7.3731,88.4774,69.12,69.12,0.0833,2222.1260,16384000,196608000
l1_matrix_add,32,32,256,4096,2,64.0000,128.0000,5.8426,70.1112,54.77,54.77,0.0833,1402.1150,8192000,98304000
l1_matrix_add,32,32,512,4096,2,64.0000,128.0000,6.3844,76.6126,59.85,59.85,0.0833,1283.1310,8192000,98304000
l1_matrix_add,32,32,1024,4096,2,64.0000,128.0000,7.4330,89.1958,69.68,69.68,0.0833,1102.1150,8192000,98304000
l1_matrix_add,32,32,2048,4096,2,64.0000,128.0000,7.7200,92.6403,72.38,72.38,0.0833,1061.1370,8192000,98304000
l1_matrix_add,32,32,256,4096,4,64.0000,128.0000,5.8743,70.4910,55.07,55.07,0.0833,2789.1220,16384000,196608000
l1_matrix_add,32,32,512,4096,4,64.0000,128.0000,6.4526,77.4313,60.49,60.49,0.0833,2539.1270,16384000,196608000
l1_matrix_add,32,32,1024,4096,4,64.0000,128.0000,7.5186,90.2234,70.49,70.49,0.0833,2179.1240,16384000,196608000
l1_matrix_add,32,32,2048,4096,4,64.0000,128.0000,7.8200,93.8403,73.31,73.31,0.0833,2095.1330,16384000,196608000
l1_matrix_add,32,32,256,4096,8,64.0000,128.0000,5.9125,70.9505,55.43,55.43,0.0833,5542.1190,32768000,393216000
l1_matrix_add,32,32,512,4096,8,64.0000,128.0000,6.5338,78.4059,61.25,61.25,0.0833,5015.1320,32768000,393216000
l1_matrix_add,32,32,1024,4096,8,64.0000,128.0000,7.3485,88.1823,68.89,68.89,0.0833,4459.1260,32768000,393216000
l1_matrix_add,32,32,2048,4096,8,64.0000,128.0000,7.8937,94.7249,74.00,74.00,0.0833,4151.1350,32768000,393216000
l1_matrix_add,32,32,256,8192,2,64.0000,128.0000,5.9146,70.9747,55.45,55.45,0.0833,2770.1150,16384000,196608000
l1_matrix_add,32,32,512,8192,2,64.0000,128.0000,6.4730,77.6759,60.68,60.68,0.0833,2531.1310,16384000,196608000
l1_matrix_add,32,32,1024,8192,2,64.0000,128.0000,7.3171,87.8057,68.60,68.60,0.0833,2239.1260,16384000,196608000
l1_matrix_add,32,32,2048,8192,2,64.0000,128.0000,7.8462,94.1547,73.56,73.56,0.0833,2088.1380,16384000,196608000
l1_matrix_add,32,32,4096,8192,2,64.0000,128.0000,8.1103,97.3239,76.03,76.03,0.0833,2020.1410,16384000,196608000
l1_matrix_add,32,32,256,8192,4,64.0000,128.0000,5.9307,71.1687,55.60,55.60,0.0833,5525.1220,32768000,393216000
l1_matrix_add,32,32,512,8192,4,64.0000,128.0000,6.5079,78.0946,61.01,61.01,0.0833,5035.1270,32768000,393216000
l1_matrix_add,32,32,1024,8192,4,64.0000,128.0000,7.3485,88.1824,68.89,68.89,0.0833,4459.1230,32768000,393216000
l1_matrix_add,32,32,2048,8192,4,64.0000,128.0000,7.8937,94.7249,74.00,74.00,0.0833,4151.1350,32768000,393216000
l1_matrix_add,32,32,4096,8192,4,64.0000,128.0000,8.1429,97.7143,76.34,76.34,0.0833,4024.1380,32768000,393216000
l1_matrix_add,32,32,256,16384,2,64.0000,128.0000,5.9512,71.4144,55.79,55.79,0.0833,5506.1150,32768000,393216000
l1_matrix_add,32,32,512,16384,2,64.0000,128.0000,6.6695,80.0337,62.53,62.53,0.0833,4913.1310,32768000,393216000
l1_matrix_add,32,32,1024,16384,2,64.0000,128.0000,7.3684,88.4203,69.08,69.08,0.0833,4447.1260,32768000,393216000
l1_matrix_add,32,32,2048,16384,2,64.0000,128.0000,7.9512,95.4144,74.54,74.54,0.0833,4121.1370,32768000,393216000
l1_matrix_add,32,32,4096,16384,2,64.0000,128.0000,8.2308,98.7700,77.16,77.16,0.0833,3981.1270,32768000,393216000
l1_matrix_add,32,32,8192,8192,4,64.0000,128.0000,4.6598,55.9172,43.69,43.69,0.0833,7032.1130,32768000,393216000
