Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,16,32,256,1024,2,64.0000,64.0000,3.6049,43.2588,67.59,67.59,0.0833,568.1150,2048000,24576000
l1_matrix_add,16,32,512,1024,2,64.0000,64.0000,3.8200,45.8395,71.62,71.62,0.0833,536.1310,2048000,24576000
l1_matrix_add,16,32,256,1024,4,64.0000,64.0000,3.3904,40.6845,63.57,63.57,0.0833,1208.1250,4096000,49152000
l1_matrix_add,16,32,512,1024,4,64.0000,64.0000,3.9956,47.9473,74.92,74.92,0.0833,1025.1250,4096000,49152000
l1_matrix_add,16,32,256,1024,8,64.0000,64.0000,3.7133,44.5597,69.62,69.62,0.0833,2206.1190,8192000,98304000
l1_matrix_add,16,32,512,1024,8,64.0000,64.0000,3.9997,47.9970,75.00,75.00,0.0833,2048.1290,8192000,98304000
l1_matrix_add,16,32,256,2048,2,64.0000,64.0000,3.4562,41.4741,64.80,64.80,0.0833,1185.1250,4096000,49152000
l1_matrix_add,16,32,512,2048,2,64.0000,64.0000,3.9608,47.5299,74.27,74.27,0.0833,1034.1270,4096000,49152000
l1_matrix_add,16,32,1024,2048,2,64.0000,64.0000,4.2750,51.3001,80.16,80.16,0.0833,958.1270,4096000,49152000
l1_matrix_add,16,32,256,2048,4,64.0000,64.0000,3.3572,40.2865,62.95,62.95,0.0833,2440.1250,8192000,98304000
l1_matrix_add,16,32,512,2048,4,64.0000,64.0000,4.0214,48.2562,75.40,75.40,0.0833,2037.1250,8192000,98304000
l1_matrix_add,16,32,1024,2048,4,64.0000,64.0000,4.2955,51.5455,80.54,80.54,0.0833,1907.1300,8192000,98304000
l1_matrix_add,16,32,256,2048,8,64.0000,64.0000,3.7733,45.2793,70.75,70.75,0.0833,4342.1190,16384000,196608000
l1_matrix_add,16,32,512,2048,8,64.0000,64.0000,4.0654,48.7845,76.23,76.23,0.0833,4030.1320,16384000,196608000
l1_matrix_add,16,32,1024,2048,8,64.0000,64.0000,4.3631,52.3572,81.81,81.81,0.0833,3755.1290,16384000,196608000
l1_matrix_add,16,32,256,4096,2,64.0000,64.0000,3.7749,45.2990,70.78,70.78,0.0833,2170.1150,8192000,98304000
l1_matrix_add,16,32,512,4096,2,64.0000,64.0000,4.0233,48.2798,75.44,75.44,0.0833,2036.1310,8192000,98304000
l1_matrix_add,16,32,1024,4096,2,64.0000,64.0000,4.3828,52.5938,82.18,82.18,0.0833,1869.1160,8192000,98304000
