Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,128,8,256,1024,2,16.0000,512.0000,5.8661,70.3933,36.66,13.75,0.0833,349.1240,2048000,24576000
l1_matrix_add,128,8,512,1024,2,16.0000,512.0000,6.8465,82.1580,42.79,16.05,0.0833,299.1310,2048000,24576000
l1_matrix_add,128,8,256,1024,4,16.0000,512.0000,5.6254,67.5049,35.16,13.18,0.0833,728.1250,4096000,49152000
l1_matrix_add,128,8,512,1024,4,16.0000,512.0000,7.4186,89.0233,46.37,17.39,0.0833,552.1250,4096000,49152000
l1_matrix_add,128,8,256,1024,8,16.0000,512.0000,6.1450,73.7394,38.41,14.40,0.0833,1333.1270,8192000,98304000
l1_matrix_add,128,8,512,1024,8,16.0000,512.0000,7.4261,89.1138,46.41,17.41,0.0833,1103.1290,8192000,98304000
l1_matrix_add,128,8,256,2048,2,16.0000,512.0000,5.8089,69.7068,36.31,13.61,0.0833,705.1250,4096000,49152000
l1_matrix_add,128,8,512,2048,2,16.0000,512.0000,7.2996,87.5951,45.62,17.11,0.0833,561.1270,4096000,49152000
l1_matrix_add,128,8,1024,2048,2,16.0000,512.0000,8.3741,100.4896,52.34,19.63,0.0833,489.1250,4096000,49152000
l1_matrix_add,128,8,256,2048,4,16.0000,512.0000,5.5347,66.4160,34.59,12.97,0.0833,1480.1250,8192000,98304000
l1_matrix_add,128,8,512,2048,4,16.0000,512.0000,7.5010,90.0117,46.88,17.58,0.0833,1092.1250,8192000,98304000
l1_matrix_add,128,8,1024,2048,4,16.0000,512.0000,8.4356,101.2267,52.72,19.77,0.0833,971.1270,8192000,98304000
l1_matrix_add,128,8,256,2048,8,16.0000,512.0000,6.2507,75.0090,39.07,14.65,0.0833,2621.1270,16384000,196608000
