Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,32,8,256,1024,2,16.0000,128.0000,4.3379,52.0551,40.67,40.67,0.0833,472.1150,2048000,24576000
l1_matrix_add,32,8,512,1024,2,16.0000,128.0000,4.6217,55.4599,43.33,43.33,0.0833,443.1310,2048000,24576000
l1_matrix_add,32,8,256,1024,4,16.0000,128.0000,4.0310,48.3720,37.79,37.79,0.0833,1016.1250,4096000,49152000
l1_matrix_add,32,8,512,1024,4,16.0000,128.0000,4.8755,58.5056,45.71,45.71,0.0833,840.1250,4096000,49152000
l1_matrix_add,32,8,256,1024,8,16.0000,128.0000,4.4959,53.9504,42.15,42.15,0.0833,1822.1190,8192000,98304000
l1_matrix_add,32,8,512,1024,8,16.0000,128.0000,4.8787,58.5446,45.74,45.74,0.0833,1679.1290,8192000,98304000
l1_matrix_add,32,8,256,2048,2,16.0000,128.0000,4.1244,49.4923,38.67,38.67,0.0833,993.1250,4096000,49152000
l1_matrix_add,32,8,512,2048,2,16.0000,128.0000,4.8238,57.8853,45.22,45.22,0.0833,849.1270,4096000,49152000
l1_matrix_add,32,8,1024,2048,2,16.0000,128.0000,5.3255,63.9065,49.93,49.93,0.0833,769.1240,4096000,49152000
l1_matrix_add,32,8,256,2048,4,16.0000,128.0000,3.9842,47.8103,37.35,37.35,0.0833,2056.1250,8192000,98304000
l1_matrix_add,32,8,512,2048,4,16.0000,128.0000,4.9109,58.9308,46.04,46.04,0.0833,1668.1250,8192000,98304000
l1_matrix_add,32,8,1024,2048,4,16.0000,128.0000,5.3678,64.4140,50.32,50.32,0.0833,1526.1270,8192000,98304000
l1_matrix_add,32,8,256,2048,8,16.0000,128.0000,4.5841,55.0088,42.98,42.98,0.0833,3574.1190,16384000,196608000
l1_matrix_add,32,8,512,2048,8,16.0000,128.0000,4.9752,59.7024,46.64,46.64,0.0833,3293.1320,16384000,196608000
l1_matrix_add,32,8,1024,2048,8,16.0000,128.0000,5.4794,65.7524,51.37,51.37,0.0833,2990.1260,16384000,196608000
